Date Of Stop	Time Of Stop	Description	Accident	Personal Injury	Property Damage	Fatal	State	VehicleType	Year	Make	Model	Color	Violation Type	Charge	Race	Gender	Driver State	DL State
07/31/2014	08:02:00	PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE	No	Yes	No	No	MD	02 - Automobile	2004	FORD	TAURUS	GRAY	Citation	16-303(c)	HISPANIC	M	MD	MD
07/31/2014	09:37:00	HEADLIGHTS (*)	No	No	No	No	MD	02 - Automobile	2009	CHEV	TK	BLUE, DARK	ESERO	55*	BLACK	M	MD	MD
07/31/2014	07:18:00	EXCEEDING MAXIMUM SPEED: 59 MPH IN A POSTED 40 MPH ZONE	No	No	No	No	MD	02 - Automobile	2012	DODGE	4S	WHITE	Citation	21-801.1	BLACK	F	MD	MD
07/31/2014	15:47:00	OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL	No	No	No	No	MD	02 - Automobile	2007	PONTIAC	G6	WHITE	Warning	22-406(i1)	BLACK	F	MD	MD
07/31/2014	17:09:00	DRIVER FAILURE TO STOP AT STOP SIGN LINE	No	No	No	No	MD	02 - Automobile	2002	AUDI	4S	GRAY	Citation	21-707(a)	BLACK	M	MD	MD
07/31/2014	08:15:00	EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH	No	No	No	No	MD	02 - Automobile	2009	TOYOTA	CAMRY	SILVER	Warning	21-801.1	BLACK	F	MD	MD
07/31/2014	08:17:00	FAILURE TO DISPLAY TAB ON PLATES OF VEH. AS REQUIRED BY ADM.	No	No	No	No	MD	02 - Automobile	2007	MERZ	CLS550	BLUE	Warning	13-410(e2)	WHITE	M	MD	MD
07/31/2014	12:41:00	DRIVINGTO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION	No	No	No	No	MD	02 - Automobile	2014	TOUOTA	CAMRY	BLACK	Warning	16-101(a)	HISPANIC	F	MD	XX
07/31/2014	19:35:00	DRIVER FAILURE TO STOP AT STOP SIGN LINE	No	No	No	No	VA	02 - Automobile	2014	FORD	EDGE	WHITE	Warning	21-707(a)	WHITE	F	VA	VA
07/31/2014	18:15:00	DRIVER FAILURE TO STOP AT STOP SIGN LINE	No	No	No	No	MD	02 - Automobile	2003	MITSIBUSHI	GALANT	SILVER	Warning	21-707(a)	BLACK	F	MD	MD
07/31/2014	22:02:00	FAILURE OF VEH. DRIVER INVOLVED IN ACCIDENT TO GIVE INSURANCE POLICY INFORMATION	No	No	No	No	MD	02 - Automobile	2007	VOLV	4S	GRAY	Citation	20-105.1	WHITE	F	MD	MD
07/31/2014	06:56:00	DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION	No	No	No	No	MD	02 - Automobile	1995	TOYT	4S	BEIGE	Citation	13-401(h)	WHITE	M	MD	MD
07/31/2014	10:32:00	DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS	No	No	No	No	MD	02 - Automobile	2000	TOYO	ECHO	BLACK	Warning	21-201(a1)	OTHER	F	MD	MD
07/31/2014	08:15:00	DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY	No	No	No	No	MD	02 - Automobile	2009	TOYOTA	CAMRY	SILVER	Warning	21-801(a)	BLACK	F	MD	MD
07/31/2014	00:32:00	DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION	No	No	No	No	MD	02 - Automobile	2008	DODGE	CHARGER	SILVER	Citation	16-101(a)	BLACK	M	MD	DC
07/31/2014	18:33:00	OPERATOR NOT RESTRAINED BY SEATBELT	No	No	No	No	MD	02 - Automobile	1997	TOYT	4S	GOLD	Citation	22-412.3(b)	HISPANIC	M	MD	MD
07/31/2014	08:59:00	EXCEEDING MAXIMUM SPEED: 64 MPH IN A POSTED 55 MPH ZONE	No	No	No	No	MD	02 - Automobile	2015	MAZDA	MAZDA 6	BLACK	Citation	21-801.1	WHITE	M	MD	MD
07/31/2014	22:12:00	EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE	No	No	No	No	MD	02 - Automobile	2014	NISS	LEAF	GRAY	Citation	21-801.1	WHITE	M	MD	MD
07/31/2014	10:46:00	FAILURE TO DISPLAY & REFLECT RED COLOR LIGHT ON REAR LAMPS AND REFLECTORS AS REQ.	No	No	No	No	MD	02 - Automobile	2008	HONDA	CIVIC	GRAY	Warning	22-209(b)	WHITE	F	MD	MD
07/31/2014	10:18:00	DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS	No	No	No	No	MD	02 - Automobile	2003	TOYT	4S	GRAY	Warning	21-201(a1)	BLACK	M	MD	MD
07/31/2014	07:41:00	EXCEEDING MAXIMUM SPEED: 59 MPH IN A POSTED 50 MPH ZONE	No	No	No	No	MD	02 - Automobile	2002	FORD	WINDSTAR	RED	Citation	21-801.1	HISPANIC	F	MD	MD
07/31/2014	08:02:00	PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103	No	Yes	No	No	MD	02 - Automobile	2004	FORD	TAURUS	GRAY	Citation	16-303(h)	HISPANIC	M	MD	MD
07/31/2014	16:35:00	OPERATOR NOT RESTRAINED BY SEATBELT	No	No	No	No	MD	05 - Light Duty Truck	1997	FORD	F150	BLUE	Citation	22-412.3(b)	WHITE	M	MD	MD
07/31/2014	20:58:00	EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE	No	No	No	No	MD	02 - Automobile	2010	CHRYS	PT CRUISER	BLUE	Citation	21-801.1	WHITE	F	MD	MD
07/31/2014	10:57:00	FAILURE TO DISPLAY & REFLECT RED COLOR LIGHT ON REAR LAMPS AND REFLECTORS AS REQ.	No	No	No	No	MD	02 - Automobile	2007	FORD	TK	WHITE	Warning	22-209(b)	WHITE	M	MD	MD
07/31/2014	17:42:00	FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND	No	No	No	No	MD	02 - Automobile	2007	SUBA	FORESTER	GREEN	Warning	22-201.1	WHITE	F	MD	MD
07/31/2014	23:21:00	DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION	No	No	No	No	MD	02 - Automobile	2004	HONDA	ACCORD	GOLD	Citation	13-401(h)	WHITE	M	MD	MD
07/31/2014	00:47:00	EXCEEDING THE POSTED SPEED LIMIT OF 50 MPH	No	No	No	No	MD	02 - Automobile	2008	HONDA	ODYSSEY	SILVER	Warning	21-801.1	BLACK	M	MD	MD
07/31/2014	09:41:00	EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE	No	No	No	No	MD	05 - Light Duty Truck	2009	MAZDA	SUV	SILVER	Citation	21-801.1	WHITE	F	MD	MD
07/31/2014	00:30:00	DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION	No	No	No	No	MD	05 - Light Duty Truck	2001	TOYT	TUNDRA	BLACK	Citation	13-401(h)	WHITE	M	MD	MD
07/31/2014	16:45:00	EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE	No	No	No	No	MD	02 - Automobile	2000	JEEP	CHEROKEE	RED	Citation	21-801.1	WHITE	M	MD	MD
07/31/2014	00:02:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	No	No	No	No	MD	02 - Automobile	1999	VOLVO	S80	SILVER	Warning	21-801.1	WHITE	F	MD	MD
07/31/2014	00:30:00	DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL	No	No	No	No	MD	05 - Light Duty Truck	2001	TOYT	TUNDRA	BLACK	Citation	21-902(a1)	WHITE	M	MD	MD
07/31/2014	00:01:00	FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND	No	No	No	No	MD	02 - Automobile	1999	PLYMOUTH	VOYAGER	MAROON	Citation	16-112(c)	BLACK	F	MD	MD
07/31/2014	18:11:00	EXCEEDING MAXIMUM SPEED: 65 MPH IN A POSTED 40 MPH ZONE	No	No	No	No	MD	01 - Motorcycle	1999	YAMAHA	MOTORCYCLE	BLUE	Citation	21-801.1	WHITE	M	MD	MD
07/31/2014	14:50:00	DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT	No	No	No	No	NC	02 - Automobile	2000	HONDA	CIVIC	WHITE	Warning	21-310(a)	WHITE	F	DC	NC
07/31/2014	02:13:00	DRIVING WHILE IMPAIRED BY ALCOHOL	No	No	No	No	MD	02 - Automobile	2004	ACURA	RSX	BLUE	Citation	21-902(b1)	HISPANIC	F	MD	MD
07/31/2014	22:50:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	No	No	No	No	MD	02 - Automobile	2013	TOYOTA	HIGHLANDER	BLACK	Warning	21-801.1	BLACK	F	MD	MD
07/31/2014	21:52:00	EXHAUST SYSTEM	No	No	No	No	MD	02 - Automobile	2001	FORD	TK	WHITE	ESERO	53	WHITE	M	MD	MD
07/31/2014	09:44:00	EXCEEDING MAXIMUM SPEED: 56 MPH IN A POSTED 30 MPH ZONE	No	No	No	No	MD	02 - Automobile	2012	BMW	4DR	BLACK	Citation	21-801.1	WHITE	M	MD	MD
07/31/2014	22:04:00	DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION	No	No	No	No	MD	02 - Automobile	2001	FORD	VAN	SILVER	Citation	13-401(h)	HISPANIC	M	MD	MD
07/31/2014	08:38:00	EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE	No	No	No	No	MD	05 - Light Duty Truck	2008	CHEV	PU	GRAY	Citation	21-801.1	WHITE	M	MD	NM
07/31/2014	18:27:00	EXCEEDING MAXIMUM SPEED: 59 MPH IN A POSTED 40 MPH ZONE	No	No	No	No	MD	02 - Automobile	2006	BMW	4DR	TAN	Citation	21-801.1	BLACK	F	MD	MD
07/31/2014	00:30:00	FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND	No	No	No	No	OH	02 - Automobile	2006	HONDA	4S	GOLD	Warning	22-201.1	WHITE	F	OH	OH
07/31/2014	14:36:00	DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS	No	No	No	No	MD	02 - Automobile	2010	SUBARU	4D	BLUE, LIGHT	Citation	21-201(a1)	WHITE	M	MD	MD
07/31/2014	18:08:00	FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR	No	No	No	No	MD	02 - Automobile	2013	FORD	ESCAPE	WHITE	Warning	13-411(a)	WHITE	F	MD	MD
07/31/2014	16:15:00	EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE	No	No	No	No	MD	02 - Automobile	2012	SUBARU	IMPREZA	BLACK	Citation	21-801.1	ASIAN	F	MD	MD
07/31/2014	12:52:00	DRIVER FAILURE TO STOP AT STOP SIGN LINE	No	No	No	No	MD	02 - Automobile	2014	MINI	COOP	WHITE	Warning	21-707(a)	WHITE	M	MD	MD
07/31/2014	00:01:00	DRIVING MOTOR VEH. WHILE LIC. SUSPENDED UNDER 26-204	No	No	No	No	MD	02 - Automobile	1999	PLYMOUTH	VOYAGER	MAROON	Citation	16-303(h)	BLACK	F	MD	MD
07/31/2014	19:35:00	FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER	No	No	No	No	VA	02 - Automobile	2014	FORD	EDGE	WHITE	Citation	13-409(b)	WHITE	F	VA	VA
07/31/2014	22:59:00	PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED OUT-OF-STATE LICENSE	No	No	No	No	MD	02 - Automobile	2008	HONDA	CIVIC	SILVER	Citation	16-303(g)	BLACK	M	MD	CA
07/31/2014	23:04:00	UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE	No	No	No	No	MD	02 - Automobile	2002	MITS	LANCER	WHITE	Citation	13-703(g)	HISPANIC	M	MD	MD
07/31/2014	09:32:00	EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE	No	No	No	No	MD	05 - Light Duty Truck	2014	TOYTA	HIGHLANDER	BLUE, LIGHT	Citation	21-801.1	WHITE	M	MD	MD
07/31/2014	23:12:00	TAG LIGHTS (*)	No	No	No	No	MD	02 - Automobile	2006	FORD	4S	RED	ESERO	65*	WHITE	M	MD	MD
07/31/2014	22:04:00	GLASS (*)	No	No	No	No	MD	02 - Automobile	2001	FORD	VAN	SILVER	ESERO	61*	HISPANIC	M	MD	MD
07/31/2014	09:49:00	EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE	No	No	No	No	MD	02 - Automobile	2011	TOYOTA	SIENNA	RED	Citation	21-801.1	BLACK	M	MD	MD
07/31/2014	08:54:00	EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH	No	No	No	No	MD	02 - Automobile	2014	KIA	FORTE	BLACK	Warning	21-801.1	OTHER	M	MD	MD
07/31/2014	09:12:00	EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE	No	No	No	No	MD	02 - Automobile	2005	FORD	FOCUS	WHITE	Citation	21-801.1	HISPANIC	M	MD	MD
07/31/2014	14:50:00	DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY	No	No	No	No	NC	02 - Automobile	2000	HONDA	CIVIC	WHITE	Warning	21-801(a)	WHITE	F	DC	NC
07/31/2014	23:34:00	KNOWINGLY DRIVING UNINSURED VEHICLE	No	No	No	No	MD	02 - Automobile	2001	CHEV	4S	WHITE	Citation	17-107	HISPANIC	M	MD	MD
07/31/2014	22:37:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	No	No	No	No	MD	02 - Automobile	1995	LEXU	ES300	GREEN, DK	Warning	21-801.1	WHITE	M	MD	MD
07/31/2014	08:36:00	EXCEEDING MAXIMUM SPEED: 59 MPH IN A POSTED 40 MPH ZONE	No	No	No	No	MD	02 - Automobile	2012	DODGE	JOURNEY	WHITE	Citation	21-801.1	BLACK	F	MD	MD
07/31/2014	07:42:00	FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER	No	No	No	No	MD	02 - Automobile	2004	CHEVROLET	SUBURBAN	WHITE	Citation	13-409(b)	BLACK	F	MD	DC
07/31/2014	18:00:00	FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR	No	No	No	No	MD	02 - Automobile	1999	FORD	F150	GREEN	Warning	13-411(a)	HISPANIC	M	MD	XX
07/31/2014	22:50:00	PASSENGER AGE 16 OR MORE IN REAR SEAT OF MOTOR VEH WITHOUT SEATBELT RESTRAINT	No	No	No	No	MD	02 - Automobile	2013	TOYOTA	HIGHLANDER	BLACK	Warning	22-412.3(c3)	BLACK	F	MD	MD
07/31/2014	12:52:00	EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE	No	No	No	No	MD	02 - Automobile	2013	CHEVROLET	CAMARO	BLACK	Citation	21-801.1	WHITE	F	MD	MD
07/31/2014	07:58:00	IMPROPER DISPLAY OF CURRENT AND VINTAGE REG. PLATES	No	No	No	No	MD	02 - Automobile	2012	LINC	4S	BLACK	Citation	13-411(h)	WHITE	M	MD	NY
07/31/2014	22:04:00	FAILURE OF VEH. DRIVER TO DISPLAY CURRENT REG. PLATES	No	No	No	No	MD	02 - Automobile	2001	FORD	VAN	SILVER	Citation	13-701(a)	HISPANIC	M	MD	MD
07/31/2014	11:05:00	FAILURE OF VEH. DRIVER TO DISPLAY CURRENT REG. PLATES	No	No	No	No	MD	02 - Automobile	2000	LEXUS	RX300	BLACK	Warning	13-701(a)	WHITE	M	MD	MD
07/31/2014	09:34:00	EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH	No	No	No	No	MD	02 - Automobile	2002	SUBARU	FORESTER	BLACK	Warning	21-801.1	WHITE	M	MD	MD
07/31/2014	21:39:00	FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND	No	No	No	No	MD	05 - Light Duty Truck	2000	HOND	ODYSSEY	GREEN	Warning	22-201.1	WHITE	F	MD	MD
07/31/2014	11:24:00	DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS	No	No	No	No	MD	02 - Automobile	2011	KIA	SOUL	GREEN, LGT	Warning	21-201(a1)	WHITE	F	MD	MD
07/31/2014	18:45:00	NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON	No	No	No	No	MD	10 - Transit Bus	2001	ORION	V	WHITE	Citation	21-901.1(b)	WHITE	M	MD	MD
07/31/2014	09:48:00	PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103	No	No	No	No	MD	07 - Truck/Road Tractor	2000	PETE	TR	MAROON	Warning	16-303(h)	BLACK	M	MD	MD
07/31/2014	00:32:00	DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY SPEED	No	No	No	No	MD	02 - Automobile	2008	DODGE	CHARGER	SILVER	Warning	21-801(a)	BLACK	M	MD	DC
07/31/2014	13:07:00	DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION	No	No	No	No	MD	02 - Automobile	2008	HONDA	CIVIC	BLACK	Citation	21-1124.2(d2)	WHITE	F	MD	MD
07/31/2014	23:04:00	CAUSING STANDING VEH. TO OBSTRUCT FREE VEH. PASSAGE OF ROADWAY	No	No	No	No	MD	02 - Automobile	2002	MITS	LANCER	WHITE	Citation	21-1001(b)	HISPANIC	M	MD	MD
07/31/2014	15:00:00	EXCEEDING MAXIMUM SPEED: 62 MPH IN A POSTED 35 MPH ZONE	No	No	No	No	MD	02 - Automobile	2008	TOYOTA	SEQUOIA	BLACK	Citation	21-801.1	WHITE	F	MD	MD
07/31/2014	22:05:00	FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND	No	No	No	No	MD	02 - Automobile	2009	MITSUBISHI	4S	BLUE, DARK	Citation	16-112(c)	BLACK	M	MD	MD
07/31/2014	23:04:00	EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE	No	No	No	No	VA	02 - Automobile	1997	CADILLAC	4D	GOLD	Citation	21-801.1	BLACK	M	VA	VA
07/31/2014	23:20:00	DRIVER FAILING TO GIVE TURN SIGNAL CONTINUOUSLY DURING LAST 100' OF TRAVEL BEFORE TURNING	No	No	No	No	MD	02 - Automobile	1993	CHRY	TOWN&COUNTY	BLACK	Warning	21-604(d)	WHITE	M	MD	MD
07/31/2014	16:57:00	EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE	No	No	No	No	MD	02 - Automobile	2012	LEXUS	ES350	BLACK	Citation	21-801.1	BLACK	F	MD	MD
07/31/2014	10:34:00	PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED OUT-OF-STATE LICENSE	No	No	No	No	OH	02 - Automobile	2002	PONTIAC	4S	BEIGE	Citation	16-303(f)	BLACK	F	MD	OH
07/31/2014	08:11:00	NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON	No	No	No	No	MD	02 - Automobile	2014	ACURA	ILZ	GREEN, DK	Citation	21-901.1(b)	BLACK	M	MD	MD
07/31/2014	07:20:00	DRIVER FAILING TO STOP AT RED SIGNAL BEFORE LEFT TURN, MAKING IMPROPER LEFT TURN AT RED SIGNAL	No	No	No	No	MD	02 - Automobile	2003	CHRY	PT CRUISER	GOLD	Warning	21-202(i2)	WHITE	M	MD	MD
07/31/2014	16:09:00	DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE	No	No	No	No	CA	02 - Automobile	2006	HONDA	CIVIC	GOLD	Citation	13-411(f)	WHITE	M	MD	CA
07/31/2014	18:45:00	FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION	No	No	No	No	MD	10 - Transit Bus	2001	ORION	V	WHITE	Citation	21-801(b)	WHITE	M	MD	MD
07/31/2014	07:20:00	DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS	No	No	No	No	MD	02 - Automobile	2003	CHRY	PT CRUISER	GOLD	Warning	21-201(a1)	WHITE	M	MD	MD
07/31/2014	15:47:00	DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION	No	No	No	No	MD	02 - Automobile	2007	PONTIAC	G6	WHITE	Warning	21-1124.2(d2)	BLACK	F	MD	MD
07/31/2014	09:06:00	EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE	No	No	No	No	MD	05 - Light Duty Truck	2008	CHEVROLET	SILVERADO	WHITE	Citation	21-801.1	HISPANIC	M	MD	MD
07/31/2014	12:11:00	WINDOW TINT	No	No	No	No	MD	05 - Light Duty Truck	2005	CHEVY	TK	BLUE	ESERO	61	WHITE	M	MD	MD
07/31/2014	09:50:00	DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION	No	No	No	No	MD	02 - Automobile	2001	FORD	EXPLORER	GREEN	Citation	16-101(a)	HISPANIC	M	MD	MD
07/31/2014	18:19:00	DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION	No	No	No	No	MD	02 - Automobile	1997	TOYOTA	CAMRY	BEIGE	Citation	21-1124.2(d2)	OTHER	F	MD	MD
07/31/2014	09:19:00	DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS	No	No	No	No	MD	02 - Automobile	2005	DODGE	NEON	BLACK	Citation	21-201(a1)	HISPANIC	F	MD	MD
07/31/2014	16:26:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	No	No	No	No	MD	02 - Automobile	2001	BMW	HXJ797	GREEN, DK	Warning	21-801.1	WHITE	M	MD	MD
07/31/2014	07:01:00	EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE	No	No	No	No	MD	02 - Automobile	2007	HONDA	ACCORD	BLACK	Citation	21-801.1	WHITE	F	MD	MD
07/31/2014	10:12:00	DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS	No	No	No	No	MD	05 - Light Duty Truck	2014	FORD	TK	WHITE	Warning	21-201(a1)	BLACK	M	MD	MD
07/31/2014	08:47:00	EXCEEDING THE POSTED SPEED LIMIT OF 50 MPH	No	No	No	No	MD	02 - Automobile	2008	BMW	CONV	BLUE, DARK	Warning	21-801.1	WHITE	M	MD	MD
07/31/2014	08:11:00	DRIVING MOTOR VEH. WHILE LIC. SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103	No	No	No	No	MD	02 - Automobile	2014	ACURA	ILZ	GREEN, DK	Citation	16-303(h)	BLACK	M	MD	MD
07/31/2014	20:46:00	PEDESTRIAN CROSSING ROADWAY BETWEEN ADJACENT INTERSECTIONS HAVING TRAFFIC CONTROL SIGNAL	No	No	No	No	XX	29 - Unknown		NONE	NONE	N/A	Warning	21-503(c)	BLACK	M	MD	MD
07/31/2014	02:13:00	DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING	No	No	No	No	MD	02 - Automobile	2004	ACURA	RSX	BLUE	Citation	21-204(d)	HISPANIC	F	MD	MD
07/31/2014	08:02:00	FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION	No	Yes	No	No	MD	02 - Automobile	2004	FORD	TAURUS	GRAY	Citation	21-801(b)	HISPANIC	M	MD	MD
